Date,Time,Tair,S_T10
1991-01-01,1:00,2.809,0.63
1991-01-01,2:00,2.936,0.63
1991-01-01,3:00,3.086,0.63
1991-01-01,4:00,3.009,0.63
1991-01-01,5:00,3.081,0.63
1991-01-01,6:00,2.687,0.64
1991-01-01,7:00,2.195,0.64
1991-01-01,8:00,2.316,0.64
1991-01-01,9:00,2.765,0.64
1991-01-01,10:00,2.57,0.65
1991-01-01,11:00,4.674,0.66
1991-01-01,12:00,6.487,0.68
1991-01-01,13:00,5.855,0.7
1991-01-01,14:00,5.617,0.73
1991-01-01,15:00,6.119,0.75
1991-01-01,16:00,3.751,0.75
1991-01-01,17:00,2.333,0.75
1991-01-01,18:00,2.193,0.73
1991-01-01,19:00,2.226,0.73
1991-01-01,20:00,1.829,0.72
1991-01-01,21:00,1.929,0.72
1991-01-01,22:00,1.289,0.72
1991-01-01,23:00,0.94,0.72
1991-01-02,0:00,0.841,0.73
1991-01-02,1:00,0.84,0.73
1991-01-02,2:00,0.941,0.74
1991-01-02,3:00,1.084,0.75
1991-01-02,4:00,1.289,0.75
1991-01-02,5:00,1.178,0.76
1991-01-02,6:00,0.989,0.78
1991-01-02,7:00,0.975,0.79
1991-01-02,8:00,0.873,0.79
1991-01-02,9:00,0.827,0.8
1991-01-02,10:00,0.542,0.81
1991-01-02,11:00,1.589,0.82
1991-01-02,12:00,2.361,0.83
1991-01-02,13:00,3.022,0.85
1991-01-02,14:00,2.741,0.88
1991-01-02,15:00,2.581,0.9
1991-01-02,16:00,2.072,0.92
1991-01-02,17:00,2.172,0.92
1991-01-02,18:00,2.054,0.92
1991-01-02,19:00,2.004,0.93
1991-01-02,20:00,-0.567,0.94
1991-01-02,21:00,-1.698,0.93
1991-01-02,22:00,-2.06,0.92
1991-01-02,23:00,-1.329,0.91
1991-01-03,0:00,0.79,0.91
1991-01-03,1:00,-0.52,0.92
1991-01-03,2:00,-0.955,0.93
1991-01-03,3:00,-1.097,0.92
1991-01-03,4:00,-1.648,0.93
1991-01-03,5:00,-2.241,0.92
1991-01-03,6:00,-2.63,0.91
1991-01-03,7:00,-2.397,0.91
1991-01-03,8:00,-2.922,0.9
1991-01-03,9:00,-2.812,0.88
1991-01-03,10:00,-0.568,0.87
1991-01-03,11:00,2.785,0.87
1991-01-03,12:00,3.465,0.87
1991-01-03,13:00,5.114,0.9
1991-01-03,14:00,4.801,0.93
1991-01-03,15:00,4.861,0.97
1991-01-03,16:00,3.794,0.99
1991-01-03,17:00,2.077,1
1991-01-03,18:00,0.777,0.99
1991-01-03,19:00,0.452,0.97
1991-01-03,20:00,-0.636,0.95
1991-01-03,21:00,-1.388,0.93
1991-01-03,22:00,-1.763,0.91
1991-01-03,23:00,-3.14,0.89
1991-01-04,0:00,-3.754,0.87
1991-01-04,1:00,-4.096,0.85
1991-01-04,2:00,-1.302,0.83
1991-01-04,3:00,-2.934,0.81
1991-01-04,4:00,-3.342,0.8
1991-01-04,5:00,-3.974,0.78
1991-01-04,6:00,-2.707,0.77
1991-01-04,7:00,-3.859,0.75
1991-01-04,8:00,-4.917,0.74
1991-01-04,9:00,-5.062,0.73
1991-01-04,10:00,-3.052,0.72
1991-01-04,11:00,0.148,0.71
1991-01-04,12:00,0.973,0.7
1991-01-04,13:00,0.296,0.71
1991-01-04,14:00,0.639,0.73
1991-01-04,15:00,1.161,0.74
1991-01-04,16:00,0.408,0.75
1991-01-04,17:00,-0.314,0.75
1991-01-04,18:00,-2.17,0.74
1991-01-04,19:00,-3.164,0.72
1991-01-04,20:00,-3.349,0.71
1991-01-04,21:00,-3.286,0.69
1991-01-04,22:00,-4.656,0.68
1991-01-04,23:00,-6.07,0.67
1991-01-05,0:00,-6.453,0.66
1991-01-05,1:00,-6.634,0.65
1991-01-05,2:00,-7.1,0.64
1991-01-05,3:00,-7.43,0.64
1991-01-05,4:00,-6.922,0.63
1991-01-05,5:00,-6.527,0.62
1991-01-05,6:00,-7.82,0.6
1991-01-05,7:00,-7.76,0.6
1991-01-05,8:00,-7.05,0.59
1991-01-05,9:00,-6.849,0.57
1991-01-05,10:00,-5.163,0.56
1991-01-05,11:00,-1.932,0.54
1991-01-05,12:00,-2.058,0.52
1991-01-05,13:00,-2.719,0.51
1991-01-05,14:00,-2.482,0.51
1991-01-05,15:00,-2.25,0.51
1991-01-05,16:00,-3.274,0.52
1991-01-05,17:00,-4.231,0.52
1991-01-05,18:00,-4.524,0.51
1991-01-05,19:00,-4.564,0.5
1991-01-05,20:00,-4.382,0.49
1991-01-05,21:00,-4.594,0.49
1991-01-05,22:00,-4.792,0.48
1991-01-05,23:00,-4.854,0.48
1991-01-06,0:00,-4.849,0.47
1991-01-06,1:00,-4.792,0.47
1991-01-06,2:00,-4.579,0.47
1991-01-06,3:00,-4.345,0.46
1991-01-06,4:00,-4.262,0.46
1991-01-06,5:00,-4.075,0.46
1991-01-06,6:00,-4.185,0.46
1991-01-06,7:00,-4.655,0.46
1991-01-06,8:00,-4.841,0.46
1991-01-06,9:00,-4.587,0.46
1991-01-06,10:00,-4.185,0.45
1991-01-06,11:00,-3.5,0.45
1991-01-06,12:00,-3.184,0.46
1991-01-06,13:00,-2.515,0.46
1991-01-06,14:00,-2.49,0.46
1991-01-06,15:00,-2.233,0.47
1991-01-06,16:00,-2.889,0.47
1991-01-06,17:00,-3.473,0.48
1991-01-06,18:00,-3.915,0.47
1991-01-06,19:00,-4.153,0.47
1991-01-06,20:00,-3.868,0.47
1991-01-06,21:00,-3.563,0.47
1991-01-06,22:00,-3.525,0.47
1991-01-06,23:00,-3.58,0.47
1991-01-07,0:00,-3.467,0.47
1991-01-07,1:00,-3.483,0.48
1991-01-07,2:00,-2.394,0.48
1991-01-07,3:00,-2.353,0.48
1991-01-07,4:00,-1.665,0.48
1991-01-07,5:00,-1.178,0.49
1991-01-07,6:00,-1.278,0.5
1991-01-07,7:00,-1.18,0.5
1991-01-07,8:00,-0.972,0.5
1991-01-07,9:00,-1.378,0.51
1991-01-07,10:00,-0.937,0.52
1991-01-07,11:00,-1.579,0.52
1991-01-07,12:00,-1.859,0.52
1991-01-07,13:00,-1.775,0.53
1991-01-07,14:00,-1.391,0.53
1991-01-07,15:00,-1.702,0.53
1991-01-07,16:00,-1.694,0.54
1991-01-07,17:00,-1.659,0.54
1991-01-07,18:00,-2.101,0.54
1991-01-07,19:00,-2.609,0.54
1991-01-07,20:00,-2.695,0.54
1991-01-07,21:00,-2.26,0.55
1991-01-07,22:00,-1.935,0.55
1991-01-07,23:00,-1.94,0.56
1991-01-08,0:00,-1.819,0.56
1991-01-08,1:00,-1.886,0.57
1991-01-08,2:00,-2.441,0.57
1991-01-08,3:00,-2.501,0.57
1991-01-08,4:00,-2.524,0.58
1991-01-08,5:00,-2.415,0.59
1991-01-08,6:00,-2.263,0.59
1991-01-08,7:00,-2.234,0.6
1991-01-08,8:00,-2.323,0.6
1991-01-08,9:00,-2.223,0.61
1991-01-08,10:00,-1.79,0.62
1991-01-08,11:00,-1.283,0.62
1991-01-08,12:00,-0.745,0.62
1991-01-08,13:00,-0.545,0.63
1991-01-08,14:00,-0.095,0.65
1991-01-08,15:00,-0.597,0.65
1991-01-08,16:00,-0.931,0.67
1991-01-08,17:00,-1.129,0.67
